Symbol,Date,Open,High,Low,Close,Volume
AAPL,05-Apr-2017,144.22,145.46,143.81,144.02,27717800
AAPL,06-Apr-2017,144.29,144.52,143.45,143.66,21149000
AAPL,07-Apr-2017,143.73,144.18,143.27,143.34,16672100
AAPL,10-Apr-2017,143.6,143.88,142.9,143.17,18933300
AAPL,11-Apr-2017,142.94,143.35,140.06,141.63,30379300
AAPL,12-Apr-2017,141.6,142.15,141.01,141.8,20350000
AAPL,13-Apr-2017,141.91,142.38,141.05,141.05,17822800
AAPL,14-Apr-2017,141.05,141.05,141.05,141.05,0
AAPL,17-Apr-2017,141.48,141.88,140.87,141.83,16582000
AAPL,18-Apr-2017,141.41,142.04,141.11,141.2,14697500
AAPL,19-Apr-2017,141.88,142,140.45,140.68,17328300
AAPL,20-Apr-2017,141.22,142.92,141.16,142.44,23319500
AAPL,21-Apr-2017,142.44,142.68,141.85,142.27,17320900
AAPL,24-Apr-2017,143.5,143.95,143.18,143.64,17134300
AAPL,25-Apr-2017,143.91,144.9,143.87,144.53,18871500
AAPL,26-Apr-2017,144.47,144.6,143.38,143.68,20041200
AAPL,27-Apr-2017,143.92,144.16,143.31,143.79,14246300
AAPL,28-Apr-2017,144.09,144.3,143.27,143.65,20860300
AAPL,01-May-2017,145.1,147.2,144.96,146.58,33602900
AAPL,02-May-2017,147.54,148.09,146.84,147.51,45352100
AAPL,03-May-2017,145.59,147.49,144.27,147.06,45697000
AAPL,04-May-2017,146.52,147.14,145.81,146.53,23371800
AAPL,05-May-2017,146.76,148.98,146.76,148.96,27327700
AAPL,08-May-2017,149.03,153.7,149.03,153.01,48752400
AAPL,09-May-2017,153.87,154.88,153.45,153.99,39130300
AAPL,10-May-2017,153.63,153.94,152.11,153.26,25805600
AAPL,11-May-2017,152.45,154.07,152.31,153.95,27255000
AAPL,12-May-2017,154.7,156.42,154.67,156.1,32527000
AAPL,15-May-2017,156.03,156.65,155.05,155.7,26009700
AAPL,16-May-2017,155.94,156.06,154.72,155.47,20048400
AAPL,17-May-2017,153.6,154.57,149.71,150.25,50767600
AAPL,18-May-2017,151.27,153.34,151.13,152.54,33568200
AAPL,19-May-2017,153.38,153.98,152.63,153.06,26960700
AAPL,22-May-2017,154,154.58,152.91,153.99,22966400
AAPL,23-May-2017,154.9,154.9,153.31,153.8,19918800
AAPL,24-May-2017,153.84,154.17,152.67,153.34,19219100
AAPL,25-May-2017,153.73,154.35,153.03,153.87,19235500
AAPL,26-May-2017,154,154.24,153.31,153.61,21927600
AAPL,29-May-2017,153.61,153.61,153.61,153.61,0
AAPL,30-May-2017,153.42,154.43,153.33,153.67,20126800
AAPL,31-May-2017,153.97,154.17,152.38,152.76,24451100
AAPL,01-Jun-2017,153.17,153.33,152.22,153.18,16404000
AAPL,02-Jun-2017,153.58,155.45,152.89,155.45,27770700
AAPL,05-Jun-2017,154.34,154.45,153.46,153.93,25331600
AAPL,06-Jun-2017,153.9,155.81,153.78,154.45,26624900
AAPL,07-Jun-2017,155.02,155.98,154.48,155.37,21069600
AAPL,08-Jun-2017,155.25,155.54,154.4,154.99,21250700
AAPL,09-Jun-2017,155.19,155.19,146.02,148.98,64882600
AAPL,12-Jun-2017,145.74,146.09,142.51,145.42,72307300
AAPL,13-Jun-2017,147.16,147.45,145.15,146.59,34165400
AAPL,14-Jun-2017,147.5,147.5,143.84,145.16,31531200
AAPL,15-Jun-2017,143.32,144.48,142.21,144.29,32165300
AAPL,16-Jun-2017,143.78,144.5,142.2,142.27,50361000
AAPL,19-Jun-2017,143.66,146.74,143.66,146.34,32541400
AAPL,20-Jun-2017,146.87,146.87,144.94,145.01,24900000
AAPL,21-Jun-2017,145.52,146.07,144.61,145.87,21265700
AAPL,22-Jun-2017,145.77,146.7,145.12,145.63,19106200
AAPL,23-Jun-2017,145.13,147.16,145.11,146.28,35439300
AAPL,26-Jun-2017,147.17,148.28,145.38,145.82,25692300
AAPL,27-Jun-2017,145.01,146.16,143.62,143.73,24761800
AAPL,28-Jun-2017,144.49,146.11,143.16,145.83,22082400
AAPL,29-Jun-2017,144.71,145.13,142.28,143.68,31492700
AAPL,30-Jun-2017,144.45,144.96,143.78,144.02,23024100
AAPL,03-Jul-2017,144.88,145.3,143.1,143.5,14277800
AAPL,04-Jul-2017,143.5,143.5,143.5,143.5,0
AAPL,05-Jul-2017,143.69,144.79,142.72,144.09,21569500
AAPL,06-Jul-2017,143.02,143.5,142.41,142.73,24128700
AAPL,07-Jul-2017,142.9,144.75,142.9,144.18,19201700
AAPL,10-Jul-2017,144.11,145.95,143.37,145.06,21090600
AAPL,11-Jul-2017,144.73,145.85,144.38,145.53,19781800
AAPL,12-Jul-2017,145.87,146.18,144.82,145.74,24884400
AAPL,13-Jul-2017,145.5,148.49,145.44,147.77,25199300
AAPL,14-Jul-2017,147.97,149.33,147.33,149.04,20132000
AAPL,17-Jul-2017,148.82,150.9,148.57,149.56,23793400
AAPL,18-Jul-2017,149.2,150.13,148.67,150.08,17868700
AAPL,19-Jul-2017,150.48,151.42,149.95,151.02,20922900
AAPL,20-Jul-2017,151.5,151.74,150.19,150.34,17243700
AAPL,21-Jul-2017,149.99,150.44,148.88,150.27,26252600
AAPL,24-Jul-2017,150.58,152.44,149.9,152.09,21493100
AAPL,25-Jul-2017,151.8,153.84,151.8,152.74,18853900
AAPL,26-Jul-2017,153.35,153.93,153.06,153.46,15780900
AAPL,27-Jul-2017,153.75,153.99,147.3,150.56,32476300
AAPL,28-Jul-2017,149.89,150.23,149.19,149.5,17213600
AAPL,31-Jul-2017,149.9,150.33,148.13,148.73,19845900
AAPL,01-Aug-2017,149.1,150.22,148.41,150.05,35368600
AAPL,02-Aug-2017,159.28,159.75,156.16,157.14,69936800
AAPL,03-Aug-2017,157.05,157.21,155.02,155.57,27097200
AAPL,04-Aug-2017,156.07,157.4,155.69,156.39,20559800
AAPL,07-Aug-2017,157.06,158.92,156.67,158.81,21870300
AAPL,08-Aug-2017,158.6,161.83,158.27,160.08,36205800
AAPL,09-Aug-2017,159.26,161.27,159.11,161.06,26131500
AAPL,10-Aug-2017,159.9,160,154.63,155.32,40804200
AAPL,11-Aug-2017,156.6,158.57,156.07,157.48,26257000
AAPL,14-Aug-2017,159.32,160.21,158.75,159.85,22122700
AAPL,15-Aug-2017,160.66,162.195,160.14,161.6,29465400
AAPL,16-Aug-2017,161.94,162.51,160.15,160.95,27671600
AAPL,17-Aug-2017,160.52,160.71,157.84,157.86,27940500
AAPL,18-Aug-2017,157.86,159.5,156.72,157.5,27428000
AAPL,21-Aug-2017,157.5,157.89,155.11,157.21,26368500
AAPL,22-Aug-2017,158.23,160,158.02,159.78,21604500
AAPL,23-Aug-2017,159.07,160.47,158.88,159.98,19399000
